"E1","E2","E3","E4","E5","E6","E7","E8","fault_type"
2.2306,3.398,0.34273,0.034123,0.0058348,0.0083756,0.0039166,0.00029886,"Normal"
2.2263,3.5931,0.37617,0.041677,0.0070015,0.01046,0.0031855,0.00090276,"Normal"
1.5033,3.5274,0.35087,0.035589,0.0069045,0.0091097,0.004467,0.0010148,"Normal"
1.6717,3.1383,0.33665,0.034852,0.0057393,0.0079704,0.0051265,0.00033892,"Normal"
2.5027,3.575,0.36975,0.035839,0.0055764,0.0084007,0.0037868,0.00016814,"Normal"
2.092,3.1891,0.34189,0.034151,0.0049853,0.0086017,0.0043588,0.00035417,"Normal"
1.506,3.7795,0.36839,0.037716,0.0063267,0.0086888,0.003988,0.00036838,"Normal"
1.8187,3.1401,0.36645,0.035116,0.0056431,0.0090314,0.0029901,0.00038871,"Normal"
1.3259,3.8689,0.39733,0.03589,0.0053841,0.0093125,0.0039118,0.00051168,"Normal"
2.1614,4.0144,0.39558,0.034809,0.0076737,0.0093564,0.0052142,0.00086331,"Normal"
1.8446,3.3746,0.38359,0.034809,0.0067739,0.010317,0.0043731,0.0015549,"Normal"
1.2867,4.0045,0.37257,0.03308,0.0057572,0.008338,0.0046648,0.00065887,"Normal"
1.5761,2.9218,0.36659,0.03601,0.0047774,0.0087304,0.0036028,0.00021923,"Normal"
1.885,3.5017,0.35753,0.032008,0.0050815,0.0079084,0.0024099,0.00013791,"Normal"
1.3959,3.08,0.37482,0.035634,0.0057424,0.0099809,0.0052918,0.00048361,"Normal"
1.81,4.107,0.40717,0.033679,0.005881,0.0089759,0.0038838,0.00089697,"Normal"
1.4238,3.0539,0.3394,0.03031,0.005,0.0080344,0.0041219,0.00036482,"Normal"
1.9308,3.5407,0.37537,0.035823,0.0063571,0.0084651,0.0042525,0.00061239,"Normal"
2.2268,3.3579,0.36111,0.033315,0.0050286,0.0081447,0.0023699,0.00020257,"Normal"
1.2517,2.8873,0.34492,0.031944,0.0041409,0.0078994,0.0039753,0.00014981,"Normal"
1.7974,3.936,0.36642,0.033925,0.0065249,0.0078575,0.0032204,0.00016329,"Normal"
1.7854,2.9544,0.34008,0.032958,0.0053287,0.0081048,0.0028093,0.00032396,"Normal"
1.5211,3.6313,0.36935,0.035142,0.0057289,0.0085269,0.0033335,0.00040902,"Normal"
1.6907,3.2251,0.3686,0.037147,0.0054554,0.0088924,0.0041751,0.0002006,"Normal"
2.688,3.9879,0.36029,0.033198,0.0050109,0.0080501,0.0027243,0.00019421,"Normal"
1.5877,3.5996,0.36105,0.034015,0.0050931,0.0081193,0.0037501,0.0003207,"Normal"
1.5761,3.2453,0.3622,0.038763,0.0076704,0.010169,0.0045512,0.0014585,"Normal"
2.0029,3.8834,0.34068,0.035155,0.0059489,0.0079184,0.0037281,0.00085037,"Normal"
2.0408,3.1237,0.33899,0.036557,0.0065484,0.0084758,0.0060828,0.00050224,"Normal"
1.9122,3.5758,0.36661,0.032782,0.0046769,0.0080145,0.0025718,0.00024116,"Normal"
1.489,3.3516,0.35257,0.034698,0.0056506,0.0086221,0.0051022,0.0003178,"Normal"
1.8808,3.5779,0.32821,0.035395,0.0066855,0.0078979,0.0044591,0.00035426,"Normal"
1.8567,3.2289,0.38002,0.043546,0.0082684,0.011265,0.004582,0.0017072,"Normal"
1.8208,3.6892,0.35783,0.035178,0.0059288,0.0090401,0.0049286,0.0012348,"Normal"
1.8992,3.4811,0.35604,0.033677,0.0049427,0.0079359,0.0039993,0.00013729,"Normal"
1.5005,3.7619,0.35397,0.033795,0.0053116,0.0078958,0.0022245,0.00030936,"Normal"
1.7958,4.0897,0.36865,0.033349,0.005335,0.0081718,0.0041517,0.00039783,"Normal"
1.8248,3.2611,0.36105,0.033445,0.0051891,0.008201,0.0030469,0.0002215,"Normal"
2.0947,4.0571,0.34225,0.028351,0.0042545,0.0070463,0.0036041,0.00022341,"Normal"
2.0281,3.3619,0.36682,0.035277,0.0051223,0.0086651,0.0042787,0.00019431,"Normal"
1.7567,3.7758,0.35888,0.033075,0.005551,0.0079265,0.0032107,0.00032007,"Normal"
1.9485,3.1031,0.33647,0.032038,0.0041183,0.0079306,0.002973,0.00017215,"Normal"
1.6984,3.9211,0.34884,0.031988,0.0048352,0.0077843,0.0040784,0.00019288,"Normal"
2.5829,3.4292,0.36835,0.033297,0.0057993,0.0087423,0.0040093,0.00054632,"Normal"
1.9725,4.0848,0.39561,0.033187,0.0059209,0.0094797,0.0055698,0.00087026,"Normal"
1.8057,3.4993,0.35308,0.032464,0.0056108,0.0079022,0.0052223,0.00035062,"Normal"
1.9549,3.3013,0.36054,0.033318,0.0055961,0.0084858,0.0045437,0.00087291,"Normal"
2.235,3.5715,0.33561,0.035517,0.0076619,0.0087416,0.0047434,0.0020191,"Normal"
1.875,3.1503,0.32837,0.034418,0.0056465,0.0086211,0.0044665,0.00045617,"Normal"
2.1185,3.6555,0.3773,0.031496,0.0048875,0.0080179,0.0033815,0.000618,"Normal"
1.6651,2.9947,0.35863,0.037067,0.0071572,0.0094655,0.0055399,0.0010512,"Normal"
1.547,3.4335,0.34137,0.02988,0.0049037,0.0072798,0.0027375,0.00027961,"Normal"
1.9503,3.4479,0.37947,0.033045,0.0044088,0.0085143,0.0042894,0.0001698,"Normal"
1.8434,3.7139,0.35279,0.035468,0.0060325,0.0083805,0.004218,0.0003506,"Normal"
1.5757,3.3145,0.34015,0.032405,0.004909,0.007643,0.0022495,0.00012247,"Normal"
1.4071,3.8743,0.35583,0.034008,0.006036,0.0084959,0.0051813,0.00055658,"Normal"
1.6488,3.5709,0.34994,0.038505,0.0086839,0.008903,0.0054391,0.0010952,"Normal"
1.3724,3.1085,0.35429,0.037341,0.0056911,0.0090099,0.0030954,0.00095625,"Normal"
1.6658,4.2628,0.36926,0.033581,0.0047351,0.0080641,0.0043561,0.00019594,"Normal"
1.6819,2.9531,0.36457,0.039165,0.0066842,0.01019,0.0041276,0.0013736,"Normal"
1.6822,4.1529,0.36844,0.038802,0.0082983,0.0090904,0.0058461,0.0022899,"Normal"
1.7393,3.2884,0.36823,0.046643,0.01039,0.011751,0.0083604,0.0021928,"Normal"
2.0909,3.5946,0.36011,0.03911,0.0069965,0.0092324,0.0042615,0.00094737,"Normal"
1.631,3.491,0.36057,0.035139,0.0050818,0.0084634,0.0057585,0.00046558,"Normal"
1.5116,3.1612,0.34623,0.036863,0.0066235,0.0083661,0.0045983,0.00053815,"Normal"
1.553,3.2564,0.33708,0.036474,0.007013,0.0090631,0.0048077,0.0011458,"Normal"
1.4036,3.7763,0.36817,0.037205,0.007945,0.0095793,0.0059168,0.0017608,"Normal"
1.6915,3.92,0.36653,0.036452,0.0056602,0.008485,0.0037923,0.00028957,"Normal"
1.4568,3.1937,0.36607,0.034031,0.0047691,0.0086139,0.0035659,0.00022519,"Normal"
1.597,3.3639,0.33756,0.034217,0.0052415,0.007919,0.0032931,0.00036508,"Normal"
1.4456,3.0455,0.35578,0.035224,0.0057786,0.0091439,0.0043206,0.00088168,"Normal"
1.5016,3.8826,0.36524,0.031741,0.0051426,0.0084836,0.0036495,0.00067511,"Normal"
1.5121,3.1756,0.35742,0.034876,0.0063948,0.0093862,0.0056139,0.00065571,"Normal"
1.5918,3.6738,0.38463,0.032911,0.0060482,0.0089039,0.0044585,0.0006078,"Normal"
1.3625,3.8398,0.371,0.032176,0.0047658,0.0083978,0.005579,0.00041373,"Normal"
1.4568,3.3859,0.37249,0.035435,0.0058983,0.0090483,0.0051444,0.00056449,"Normal"
1.7671,3.683,0.3467,0.032463,0.0059253,0.0077789,0.005139,0.00047468,"Normal"
1.3127,3.5096,0.34775,0.032172,0.005177,0.0081948,0.0051383,0.00029208,"Normal"
1.3511,4.1047,0.3696,0.031743,0.0051195,0.0080214,0.0057516,0.00020873,"Normal"
2.0537,3.3965,0.3691,0.033148,0.0043607,0.0083514,0.0026445,0.00015384,"Normal"
1.3769,3.8404,0.3698,0.032326,0.0054707,0.0078909,0.0041591,0.00037908,"Normal"
2.078,1.6085,0.58415,0.070132,0.0077554,0.016763,0.0045422,0.00034688,"Normal"
2.3653,1.741,0.60368,0.066791,0.0061216,0.016356,0.0032396,0.00016147,"Normal"
1.881,1.5231,0.5791,0.066641,0.0069916,0.016061,0.0041322,0.00030694,"Normal"
2.0376,1.5586,0.55245,0.061884,0.0069218,0.015094,0.0038301,0.00015076,"Normal"
1.8649,1.6578,0.6405,0.067461,0.0068601,0.017831,0.0044221,0.00068832,"Normal"
1.8951,1.589,0.54969,0.059651,0.0067515,0.015225,0.0048082,0.00074016,"Normal"
2.2502,1.3306,0.58319,0.071025,0.0075442,0.017038,0.0035593,0.00035736,"Normal"
2.2559,1.5838,0.53965,0.060161,0.0057028,0.014972,0.0034972,0.00018732,"Normal"
1.8478,1.6838,0.59349,0.069594,0.0075487,0.016553,0.0042203,0.00024536,"Normal"
2.079,1.6224,0.57417,0.06853,0.0080982,0.016565,0.0034805,0.00063935,"Normal"
1.5966,1.5483,0.56773,0.066799,0.0069099,0.015916,0.0027881,0.00023612,"Normal"
2.9062,1.8553,0.54428,0.063843,0.008579,0.016459,0.0058037,0.0013831,"Normal"
1.5892,1.3261,0.55947,0.070467,0.010076,0.017408,0.0048135,0.0021996,"Normal"
2.5851,1.3077,0.53217,0.065979,0.0087033,0.015432,0.0033997,0.00081172,"Normal"
3.1242,1.3143,0.55675,0.063988,0.0066213,0.015316,0.0041953,0.00015387,"Normal"
1.7955,1.7454,0.59769,0.066865,0.0062596,0.016381,0.0039189,0.00063891,"Normal"
2.8204,1.2905,0.52885,0.066567,0.0081181,0.015542,0.0039244,0.00081142,"Normal"
2.0421,1.5956,0.5626,0.068206,0.0077169,0.016734,0.0045565,0.00093228,"Normal"
1.9411,1.5972,0.56105,0.063355,0.0063785,0.015532,0.0039714,0.00020589,"Normal"
2.6649,1.9025,0.60838,0.071313,0.0078195,0.017471,0.0050782,0.00051934,"Normal"
2.2475,1.2372,0.59574,0.066767,0.0055339,0.016431,0.0035945,0.00022438,"Normal"
2.2422,1.2995,0.54898,0.062574,0.0073077,0.015535,0.0045604,0.00047706,"Normal"
2.5461,1.2559,0.53482,0.063134,0.0064563,0.015264,0.0055806,0.00021629,"Normal"
1.8104,2.018,0.59253,0.065854,0.0056006,0.015828,0.0030718,0.00012286,"Normal"
1.7207,1.6868,0.56122,0.066857,0.007675,0.015474,0.0049387,0.00040475,"Normal"
2.1427,1.8493,0.61134,0.071535,0.0065328,0.017291,0.003463,0.00041733,"Normal"
2.3982,1.6749,0.58491,0.066687,0.0058679,0.016088,0.003067,0.00020826,"Normal"
2.6365,1.549,0.56027,0.065245,0.0069591,0.015675,0.0054902,0.00021484,"Normal"
2.4694,1.5128,0.56556,0.062508,0.0059442,0.015382,0.0041736,0.00018507,"Normal"
1.7063,1.9271,0.56984,0.072504,0.010428,0.017343,0.0052325,0.0017941,"Normal"
2.1323,1.6296,0.54764,0.069339,0.010183,0.016602,0.0056191,0.0012968,"Normal"
1.7102,1.7691,0.60414,0.067579,0.006298,0.016196,0.0030718,0.00017753,"Normal"
1.5132,1.6052,0.55559,0.067795,0.0081837,0.016211,0.00498,0.0007106,"Normal"
2.3319,1.4652,0.62482,0.078748,0.010219,0.01841,0.0039415,0.0011307,"Normal"
1.6877,1.385,0.53786,0.064542,0.0080477,0.015556,0.0032685,0.0010559,"Normal"
2.2864,1.6458,0.58871,0.069962,0.0090326,0.017129,0.0047946,0.0014015,"Normal"
2.7951,1.7038,0.5926,0.066799,0.0077151,0.017089,0.0043704,0.0010771,"Normal"
2.2567,1.7577,0.63459,0.070674,0.0065022,0.01725,0.0053127,0.00027686,"Normal"
2.4758,1.7494,0.59891,0.069319,0.00862,0.017303,0.0051446,0.0011376,"Normal"
1.5976,1.4624,0.58908,0.069823,0.0080619,0.016823,0.0045786,0.00083707,"Normal"
2.2044,1.3225,0.53387,0.062414,0.0069392,0.015935,0.0042364,0.0007112,"Normal"
2.6128,1.2367,0.60854,0.066033,0.007154,0.016788,0.0041267,0.0006591,"Normal"
1.8678,1.7097,0.57876,0.063423,0.005957,0.015649,0.0054871,0.00022634,"Normal"
2.7247,1.6682,0.58883,0.067789,0.0073107,0.016065,0.0042764,0.00018473,"Normal"
2.4517,1.9143,0.59222,0.065594,0.0063771,0.016465,0.0034891,0.00061053,"Normal"
