"En1","En2","En3","En4","En5","En6","En7","En8","fault_type"
11.647,18.993,0.33752,2.5776,0.0028422,0.070819,0.051906,0.086259,"Normal"
9.3126,16.678,0.32663,2.8598,0.0030776,0.035371,0.043113,0.097059,"Normal"
12.094,17.804,0.29978,2.5783,0.002303,0.039118,0.057212,0.082307,"Normal"
8.0735,15.268,0.32435,2.5524,0.0033453,0.059961,0.054426,0.092171,"Normal"
9.7791,17.023,0.32515,2.5719,0.0021011,0.034092,0.051761,0.088139,"Normal"
10.789,15.775,0.28679,2.4767,0.0036475,0.065223,0.066503,0.091744,"Normal"
8.0752,17.281,0.3743,2.7356,0.0029367,0.038803,0.068553,0.10173,"Normal"
7.4496,17.568,0.29235,2.5974,0.0026088,0.052574,0.046833,0.092518,"Normal"
9.9216,15.671,0.30935,2.6473,0.0043387,0.055522,0.060918,0.089284,"Normal"
8.2341,17.519,0.32041,2.608,0.002546,0.041738,0.063068,0.092491,"Normal"
10.542,16.438,0.3543,2.7398,0.0025149,0.051199,0.058453,0.097625,"Normal"
9.1172,18.653,0.26859,2.4423,0.0023575,0.036221,0.061205,0.074943,"Normal"
8.6681,16.098,0.32873,2.4556,0.0031659,0.0372,0.056151,0.083726,"Normal"
8.8551,18.297,0.36265,2.5558,0.0021986,0.048554,0.04642,0.097402,"Normal"
9.5716,15.697,0.27018,2.4981,0.003797,0.052194,0.071601,0.08895,"Normal"
8.1736,16.045,0.31489,2.4376,0.0037584,0.044612,0.068931,0.083978,"Normal"
7.6387,17.737,0.37556,2.7851,0.0021422,0.06781,0.047335,0.093217,"Normal"
9.3263,17.697,0.33644,2.7844,0.0031666,0.041158,0.067849,0.10655,"Normal"
10.021,18.306,0.2986,2.6273,0.0029721,0.04814,0.045208,0.082597,"Normal"
7.8083,15.602,0.30719,2.4299,0.0021639,0.036938,0.052343,0.090312,"Normal"
7.1397,18.949,0.29082,2.4883,0.0027276,0.030405,0.064161,0.076616,"Normal"
9.5352,16.942,0.27501,2.6149,0.0020968,0.045484,0.04576,0.089116,"Normal"
9.9824,17.644,0.39159,2.515,0.0029671,0.054795,0.049142,0.094361,"Normal"
8.9617,15.913,0.34144,2.5637,0.0027358,0.041588,0.052718,0.098626,"Normal"
9.223,16.48,0.26298,2.6259,0.0028192,0.038549,0.055025,0.091975,"Normal"
9.8402,19.047,0.30136,2.6387,0.0031958,0.050299,0.057239,0.095705,"Normal"
8.6567,15.46,0.33693,2.4753,0.0033291,0.043622,0.047113,0.094624,"Normal"
9.0698,18.911,0.33051,2.6899,0.0022753,0.05545,0.063405,0.08312,"Normal"
7.7101,16.072,0.32823,2.7341,0.0033222,0.0525,0.057855,0.098492,"Normal"
8.5286,18.049,0.313,2.6454,0.0032017,0.051158,0.045938,0.092148,"Normal"
9.2978,13.791,0.35938,2.3599,0.0018066,0.048646,0.056207,0.092691,"Normal"
8.831,17.057,0.31361,2.6303,0.0024895,0.032575,0.058209,0.088377,"Normal"
8.9582,16.832,0.33098,2.7743,0.0018294,0.062111,0.041935,0.095607,"Normal"
9.1833,16.425,0.30184,2.5577,0.0027201,0.057494,0.069827,0.08165,"Normal"
9.4335,16.185,0.35122,2.5859,0.0030606,0.038934,0.058213,0.093778,"Normal"
9.3751,16.62,0.32658,2.5906,0.001692,0.040759,0.055256,0.10789,"Normal"
9.4566,16.813,0.31877,2.5701,0.003649,0.044913,0.068615,0.086579,"Normal"
11.357,17.187,0.30942,2.4998,0.0030236,0.041207,0.056395,0.088822,"Normal"
11.683,16.966,0.27469,2.6706,0.0031341,0.048309,0.048944,0.0951,"Normal"
8.4322,16.639,0.36934,2.4814,0.0032054,0.044079,0.064194,0.096288,"Normal"
9.3903,17.246,0.3522,2.5949,0.0034018,0.060516,0.0673,0.096485,"Normal"
10.741,15.668,0.28687,2.5499,0.0040242,0.04386,0.058803,0.09634,"Normal"
10.546,17.811,0.31068,2.638,0.0025176,0.040565,0.054809,0.091722,"Normal"
9.6889,16.239,0.34469,2.4178,0.0021366,0.03831,0.060955,0.086585,"Normal"
9.2183,16.377,0.29614,2.3762,0.0028823,0.070648,0.067762,0.089408,"Normal"
12.528,16.915,0.3198,2.6758,0.0023517,0.040919,0.053641,0.089005,"Normal"
11.815,17.66,0.33133,2.8028,0.0033335,0.067155,0.056491,0.092275,"Normal"
7.7619,19.114,0.30738,2.599,0.0037837,0.051065,0.056799,0.085939,"Normal"
10.372,16.083,0.30304,2.5514,0.0027885,0.060068,0.07138,0.097762,"Normal"
10.885,16.56,0.30114,2.4875,0.0029579,0.053911,0.056108,0.083533,"Normal"
9.3771,14.649,0.30464,2.5326,0.0023223,0.051935,0.065334,0.090737,"Normal"
8.5935,17.472,0.31331,2.6733,0.0022602,0.037755,0.052269,0.087464,"Normal"
9.3564,16.018,0.35796,2.5681,0.0036092,0.050485,0.063082,0.084542,"Normal"
9.2378,17.107,0.30686,2.569,0.0024207,0.041479,0.053816,0.090285,"Normal"
6.7956,16.907,0.29219,2.4199,0.0020612,0.050416,0.047746,0.091386,"Normal"
9.1074,15.358,0.35618,2.3805,0.0041925,0.070779,0.074708,0.09401,"Normal"
9.2027,17.464,0.2877,2.392,0.003155,0.037297,0.054243,0.092733,"Normal"
8.7719,14.605,0.3264,2.4642,0.0022027,0.053588,0.050663,0.090827,"Normal"
7.5071,18.643,0.31098,2.5494,0.0031631,0.045124,0.063097,0.090571,"Normal"
9.878,14.368,0.33732,2.3958,0.0026636,0.040692,0.052996,0.089412,"Normal"
11.389,17.68,0.29963,2.501,0.0035126,0.072437,0.054455,0.094836,"Normal"
7.7772,17.005,0.31615,2.7905,0.0023719,0.046218,0.069009,0.088629,"Normal"
9.0135,15.922,0.30469,2.5608,0.0028502,0.037737,0.053643,0.085188,"Normal"
9.3351,16.259,0.28258,2.3891,0.0025846,0.045159,0.066392,0.090149,"Normal"
8.3618,16.354,0.32621,2.45,0.0027677,0.042652,0.056392,0.085142,"Normal"
12.038,16.896,0.26936,2.421,0.0032485,0.049558,0.058729,0.0851,"Normal"
8.83,15.057,0.32948,2.5284,0.0038789,0.056982,0.073896,0.086742,"Normal"
8.5236,17.781,0.2657,2.4904,0.0022025,0.037329,0.061757,0.086421,"Normal"
10.692,17.112,0.33423,2.6008,0.0020236,0.061451,0.056468,0.085249,"Normal"
12.584,16.608,0.31525,2.4027,0.0024119,0.052717,0.061897,0.086811,"Normal"
10.409,17.877,0.31862,2.5519,0.0029243,0.035829,0.060268,0.094002,"Normal"
6.6504,17.032,0.31457,2.6185,0.0033385,0.049845,0.059724,0.095708,"Normal"
9.7518,17.055,0.27664,2.3977,0.0025654,0.055642,0.061941,0.081053,"Normal"
10.876,15.413,0.33105,2.3072,0.0025041,0.030846,0.046855,0.090343,"Normal"
7.771,18.62,0.35336,2.6208,0.0014473,0.044184,0.069947,0.096866,"Normal"
11.047,14.216,0.33147,2.4609,0.0023399,0.032888,0.068028,0.090733,"Normal"
10.367,18.899,0.30256,2.6804,0.0020741,0.044665,0.053963,0.096363,"Normal"
11.337,16.408,0.31964,2.612,0.00271,0.05737,0.061651,0.09317,"Normal"
8.6378,18.178,0.28083,2.5185,0.0034051,0.042263,0.058801,0.0847,"Normal"
9.8544,14.672,0.31911,2.5461,0.003063,0.050885,0.059145,0.093393,"Normal"
12.706,17.97,0.3084,2.6213,0.0025312,0.047998,0.073143,0.093207,"Normal"
10.36,16.376,0.33473,2.5663,0.0035297,0.027851,0.064436,0.08907,"Normal"
9.5099,17.597,0.31625,2.5649,0.003309,0.050936,0.057597,0.090329,"Normal"
12.704,16.611,0.30586,2.527,0.0025888,0.048918,0.054523,0.091754,"Normal"
11.295,15.606,0.30978,2.6139,0.0019769,0.039904,0.063718,0.097191,"Normal"
10.101,18.126,0.3506,2.5846,0.002374,0.038876,0.067807,0.088422,"Normal"
10.744,14.666,0.34463,2.7956,0.003322,0.05833,0.060522,0.10264,"Normal"
11.054,18.678,0.30023,2.6277,0.0031115,0.040359,0.052163,0.084322,"Normal"
9.9068,16.205,0.29438,2.4712,0.0025567,0.047605,0.068422,0.089946,"Normal"
10.328,16.799,0.29961,2.5285,0.003298,0.037736,0.064607,0.087384,"Normal"
12.692,17.511,0.28497,2.5507,0.0028647,0.045375,0.048379,0.088302,"Normal"
11.449,16.206,0.38095,2.6229,0.0028089,0.059793,0.063119,0.090428,"Normal"
8.6463,18.002,0.26382,2.6775,0.0030776,0.034351,0.061742,0.08054,"Normal"
10.91,18.007,0.30625,2.5978,0.0020467,0.036503,0.05106,0.083963,"Normal"
12.016,20.516,0.3272,2.4828,0.0028068,0.045437,0.074035,0.078371,"Normal"
11.821,15.1,0.34978,2.6514,0.0027564,0.037534,0.056039,0.09972,"Normal"
12.404,19.033,0.29756,2.6183,0.0020754,0.03739,0.061972,0.097142,"Normal"
10.869,16.966,0.37694,2.4856,0.0019106,0.050012,0.058405,0.09022,"Normal"
10.978,19.143,0.30603,2.7045,0.0017697,0.029764,0.045395,0.088324,"Normal"
9.8574,16.92,0.33077,2.6039,0.0028518,0.05747,0.063957,0.096477,"Normal"
12.703,16.338,0.38892,2.6495,0.0029947,0.052104,0.057919,0.094898,"Normal"
8.483,18.948,0.30757,2.711,0.0028511,0.054104,0.054762,0.089196,"Normal"
11.297,15.944,0.3072,2.6199,0.0040901,0.062451,0.066672,0.093113,"Normal"
11.504,18.187,0.32124,2.5474,0.0017532,0.035347,0.061496,0.089746,"Normal"
11.474,15.928,0.35045,2.5233,0.0017059,0.051788,0.053648,0.093749,"Normal"
10.329,17.385,0.28058,2.5681,0.0020754,0.034611,0.067625,0.094789,"Normal"
12.01,15.385,0.35092,2.8644,0.0019123,0.039663,0.060688,0.096423,"Normal"
11.483,16.662,0.35287,2.434,0.0022637,0.051411,0.052936,0.098496,"Normal"
10.932,16.683,0.32348,2.4572,0.0022522,0.028753,0.056334,0.097772,"Normal"
9.4681,16.09,0.39111,2.6421,0.0028279,0.032938,0.056397,0.09388,"Normal"
11.957,17.266,0.32794,2.4377,0.0030676,0.044798,0.069031,0.089297,"Normal"
12.218,17.973,0.33675,2.6978,0.00295,0.026292,0.060887,0.096244,"Normal"
8.8316,17.444,0.27162,2.58,0.0019448,0.03597,0.048761,0.09038,"Normal"
9.5978,15.678,0.33841,2.4884,0.0024233,0.055354,0.058039,0.080557,"Normal"
13.229,17.751,0.30361,2.7661,0.0025736,0.044586,0.069001,0.094689,"Normal"
12.003,16.149,0.29341,2.5233,0.0034535,0.049071,0.044346,0.093575,"Normal"
8.7452,18.884,0.37206,2.6527,0.0029806,0.041981,0.058861,0.10352,"Normal"
9.9114,16.417,0.31252,2.5717,0.0027732,0.035249,0.057905,0.094177,"Normal"
8.1426,19.097,0.30215,2.8126,0.0016832,0.03938,0.059777,0.099944,"Normal"
11.702,19.46,0.29914,2.8503,0.0018382,0.047688,0.066662,0.090138,"Normal"
10.496,17.085,0.33381,2.6475,0.0017203,0.027492,0.051531,0.093365,"Normal"
7.8305,19.394,0.32058,2.7476,0.0021614,0.051162,0.056057,0.09042,"Normal"
9.1476,15.018,0.35793,2.6488,0.0019057,0.04235,0.049848,0.10287,"Normal"
10.308,17.37,0.32878,2.6734,0.002147,0.028252,0.059369,0.080794,"Normal"
8.2772,15.857,0.35173,2.6642,0.0020425,0.053358,0.056249,0.097926,"Normal"
10.34,20.202,0.34257,2.822,0.0029911,0.03216,0.049715,0.094619,"Normal"
8.3466,15.501,0.32116,2.5539,0.0046122,0.049309,0.053395,0.08874,"Normal"
10.806,17.368,0.28597,2.7793,0.0030556,0.039933,0.057372,0.086766,"Normal"
12.197,17.073,0.30653,2.6258,0.0025483,0.02692,0.051912,0.090531,"Normal"
7.4139,15.215,0.33468,2.5227,0.0020338,0.046439,0.046981,0.091295,"Normal"
10.188,19.222,0.34402,2.7769,0.0024039,0.037349,0.069139,0.097183,"Normal"
9.8153,15.285,0.28242,2.5292,0.0029158,0.031857,0.058071,0.089741,"Normal"
8.873,18.268,0.32533,2.7167,0.0023669,0.034765,0.058329,0.089691,"Normal"
9.6561,16.381,0.31141,2.6351,0.0025734,0.046351,0.059332,0.1061,"Normal"
13.954,19.4,0.30588,2.7756,0.0034064,0.036515,0.053103,0.086368,"Normal"
9.1934,17.828,0.36015,2.6554,0.0026833,0.041696,0.05307,0.094194,"Normal"
8.9213,16.875,0.30681,2.6307,0.0027074,0.040548,0.054165,0.091793,"Normal"
11.035,18.896,0.30922,2.6315,0.0019448,0.037946,0.051291,0.080983,"Normal"
11.529,15.925,0.36697,2.3912,0.0023131,0.066225,0.048306,0.086436,"Normal"
11.156,17.555,0.29548,2.6263,0.0021019,0.029779,0.054023,0.089531,"Normal"
8.7971,16.602,0.32691,2.6416,0.0020473,0.053227,0.061236,0.09247,"Normal"
10.307,18.249,0.30982,2.4326,0.0029719,0.052066,0.053609,0.082554,"Normal"
10.253,16.603,0.32687,2.8056,0.0012569,0.033624,0.062734,0.095681,"Normal"
10.359,18.285,0.33675,2.6924,0.0032535,0.049717,0.042793,0.083368,"Normal"
10.251,17.624,0.34639,2.5967,0.0020081,0.045557,0.047915,0.094503,"Normal"
8.2371,18.588,0.2977,2.6613,0.0032038,0.025357,0.054708,0.087107,"Normal"
10.098,19.955,0.33569,2.6999,0.0019092,0.049649,0.054923,0.086933,"Normal"
10.406,16.42,0.32081,2.6884,0.0026082,0.03663,0.051214,0.093164,"Normal"
11.616,19.614,0.26082,2.4429,0.0033317,0.042929,0.045324,0.080792,"Normal"
11.577,16.79,0.34767,2.6926,0.0037924,0.048644,0.052725,0.091631,"Normal"
9.7281,18.652,0.30982,2.6618,0.0017931,0.036735,0.057991,0.084839,"Normal"
10.712,15.917,0.35464,2.4421,0.0018037,0.03485,0.041063,0.099042,"Normal"
9.8704,19.094,0.29322,2.613,0.0021988,0.047037,0.054045,0.086375,"Normal"
13.345,17.55,0.28336,2.6364,0.002743,0.043019,0.063647,0.091792,"Normal"
10.8,20.233,0.32649,2.7094,0.003338,0.056541,0.046621,0.096199,"Normal"
10.423,17.189,0.32507,2.5291,0.0033448,0.05839,0.058134,0.091132,"Normal"
10.81,16.725,0.31063,2.8125,0.0029797,0.049028,0.052641,0.084461,"Normal"
12.04,17.584,0.28,2.5425,0.0035885,0.044654,0.053894,0.084067,"Normal"
10.366,16.096,0.36042,2.4199,0.0028388,0.043609,0.052646,0.094919,"Normal"
11.809,18.367,0.29068,2.6756,0.0031273,0.035184,0.057608,0.085927,"Normal"
9.3066,15.304,0.34048,2.6542,0.0025571,0.055784,0.059938,0.095213,"Normal"
8.8191,17.411,0.30283,2.5502,0.0035861,0.031441,0.048991,0.078068,"Normal"
11.162,17.008,0.33448,2.7979,0.0020857,0.046926,0.052701,0.099209,"Normal"
10.426,18.357,0.29568,2.6135,0.0021169,0.048559,0.064062,0.088616,"Normal"
8.9334,16.736,0.32843,2.4505,0.0015834,0.025738,0.057257,0.088575,"Normal"
8.3971,18.929,0.32128,2.6122,0.0023744,0.052236,0.048302,0.088202,"Normal"
9.4382,17.619,0.28717,2.5934,0.0023383,0.049959,0.062523,0.081339,"Normal"
8.3909,15.491,0.34863,2.5403,0.0026181,0.031314,0.04007,0.10016,"Normal"
9.8953,20.21,0.32945,2.7593,0.0020464,0.047022,0.050681,0.086169,"Normal"
9.2753,15.198,0.34713,2.7704,0.0025693,0.032948,0.063611,0.099048,"Normal"
9.6883,20.204,0.28214,2.682,0.002881,0.04779,0.056066,0.081104,"Normal"
9.7959,16.589,0.32738,2.6622,0.0023319,0.062573,0.056334,0.10363,"Normal"
11.154,18.325,0.3227,2.599,0.0022552,0.040959,0.054926,0.083024,"Normal"
9.4745,16.775,0.29318,2.7336,0.0024231,0.063376,0.060185,0.089521,"Normal"
8.9684,15.83,0.32944,2.5685,0.003278,0.051748,0.069462,0.086728,"Normal"
9.0006,16.579,0.30438,2.4882,0.0021304,0.042729,0.057836,0.08478,"Normal"
8.0482,18.706,0.27575,2.7285,0.0029063,0.044448,0.063008,0.088792,"Normal"
9.9894,19.036,0.34689,2.5941,0.0029772,0.043642,0.059028,0.094212,"Normal"
8.2494,16.39,0.31801,2.6463,0.0031899,0.038872,0.057818,0.099997,"Normal"
8.9704,17.081,0.28311,2.5436,0.0022216,0.038863,0.053422,0.082037,"Normal"
8.9899,15.28,0.32144,2.6732,0.003765,0.045439,0.054664,0.08875,"Normal"
8.78,18.965,0.29258,2.6376,0.0023413,0.034355,0.048799,0.087234,"Normal"
8.686,16.464,0.29006,2.5835,0.0021987,0.055901,0.065253,0.09609,"Normal"
8.8868,18.45,0.30475,2.6658,0.0024117,0.052175,0.066256,0.094991,"Normal"
7.864,18.874,0.36085,2.7277,0.0030615,0.062122,0.049673,0.087145,"Normal"
8.5214,17.078,0.33824,2.6705,0.0020399,0.048942,0.06507,0.086386,"Normal"
10.021,18.206,0.29918,2.6201,0.0026657,0.059391,0.057361,0.085336,"Normal"
7.5286,17.563,0.2821,2.5285,0.0033673,0.0569,0.059143,0.092802,"Normal"
8.0749,19.999,0.32094,2.5982,0.0020632,0.062755,0.061529,0.089937,"Normal"
11.38,16.986,0.31404,2.762,0.0024116,0.032683,0.047477,0.089915,"Normal"
8.0505,19.248,0.27372,2.5416,0.0021751,0.049808,0.063005,0.080924,"Normal"
11.132,9.3948,0.67622,4.0575,0.0029162,0.048563,0.089026,0.17498,"Normal"
12.764,9.5818,0.68605,3.9834,0.002219,0.03948,0.071206,0.18038,"Normal"
10.062,8.9587,0.63192,3.9561,0.0018483,0.048386,0.074964,0.16577,"Normal"
11.469,9.2887,0.59648,3.6213,0.0017737,0.04652,0.072037,0.15962,"Normal"
10.42,9.5579,0.67177,4.21,0.0031472,0.047438,0.061522,0.18535,"Normal"
10.928,9.0393,0.56527,3.8232,0.0026946,0.053137,0.075192,0.15217,"Normal"
12.057,7.3958,0.5752,4.0851,0.002095,0.039718,0.080382,0.18061,"Normal"
12.282,9.0042,0.55118,3.7801,0.0020903,0.039725,0.067512,0.15616,"Normal"
10.207,9.3931,0.60679,4.0176,0.0024387,0.04593,0.076248,0.17631,"Normal"
11.67,9.25,0.56875,3.9668,0.0029323,0.033986,0.068614,0.16525,"Normal"
8.8426,9.1629,0.60179,3.9206,0.0028495,0.03214,0.072815,0.17069,"Normal"
15.291,10.123,0.59372,3.7465,0.0028174,0.054894,0.059596,0.1677,"Normal"
9.3278,7.4866,0.55477,3.9709,0.0020655,0.035771,0.06977,0.16528,"Normal"
13.819,7.6219,0.49769,3.8223,0.0039788,0.038652,0.088821,0.15028,"Normal"
16.101,7.7902,0.52123,3.9004,0.0022101,0.047765,0.064927,0.17057,"Normal"
10.452,9.7537,0.53966,4.0518,0.0026467,0.044755,0.066743,0.17362,"Normal"
14.722,7.5097,0.53629,3.7522,0.0017513,0.038234,0.070989,0.16163,"Normal"
11.047,9.3181,0.60076,3.9335,0.0025055,0.040693,0.06957,0.16121,"Normal"
10.904,8.9922,0.53136,3.8896,0.0024791,0.042796,0.078912,0.16026,"Normal"
14.212,10.409,0.6513,4.1636,0.0025864,0.055511,0.073133,0.17415,"Normal"
12.191,7.5543,0.56278,4.0256,0.0023193,0.04154,0.054927,0.16989,"Normal"
12.306,7.931,0.53415,3.751,0.002501,0.048374,0.088451,0.16459,"Normal"
13.121,7.9976,0.51743,3.8079,0.003518,0.063111,0.07395,0.1599,"Normal"
10.126,11.231,0.59372,4.0781,0.0021159,0.036097,0.065419,0.16495,"Normal"
9.7895,9.3648,0.59847,3.8474,0.0035428,0.056563,0.066634,0.17065,"Normal"
11.766,10.39,0.65194,4.0698,0.0022994,0.035889,0.057416,0.18412,"Normal"
12.948,9.3767,0.60359,4.0431,0.0022914,0.036741,0.066691,0.16408,"Normal"
13.709,9.1238,0.6212,3.9115,0.0029686,0.063033,0.08222,0.1639,"Normal"
13.623,8.5155,0.57913,3.8905,0.0027518,0.047785,0.068425,0.16042,"Normal"
9.5077,10.845,0.60845,3.9631,0.0028743,0.047743,0.081135,0.16309,"Normal"
11.868,9.3825,0.52613,3.816,0.0018762,0.056363,0.088619,0.15589,"Normal"
9.7,9.7867,0.62541,4.2274,0.0022437,0.036343,0.064957,0.17688,"Normal"
8.9211,9.1315,0.54895,3.9077,0.0023967,0.048367,0.068589,0.1652,"Normal"
12.641,8.5116,0.65638,4.187,0.0027203,0.032396,0.073246,0.18109,"Normal"
9.5282,8.0133,0.58149,3.6783,0.0018449,0.029746,0.06692,0.16005,"Normal"
11.814,9.6604,0.62154,4.0111,0.003465,0.044603,0.078185,0.16153,"Normal"
14.629,9.5456,0.52007,3.9891,0.0017145,0.039924,0.060622,0.16462,"Normal"
12.202,9.8817,0.61652,4.3815,0.0022186,0.062385,0.068104,0.1821,"Normal"
13.46,9.9001,0.52495,4.1844,0.0022379,0.046434,0.070154,0.16997,"Normal"
9.3232,8.256,0.56752,4.1008,0.0018163,0.043303,0.071198,0.16408,"Normal"
11.911,7.9042,0.50332,3.6953,0.0020259,0.044917,0.078381,0.15648,"Normal"
14.031,7.1048,0.55598,4.0331,0.0027353,0.04375,0.068207,0.17791,"Normal"
10.494,9.5811,0.57092,3.939,0.0024874,0.061063,0.073717,0.15769,"Normal"
14.531,9.4872,0.56766,4.1861,0.0019021,0.049742,0.086678,0.16811,"Normal"
13.312,10.257,0.5583,4.1144,0.0026808,0.031627,0.07556,0.16683,"Normal"
11.694,9.2149,0.5584,4.0055,0.0045008,0.059714,0.071748,0.16236,"Normal"
13.467,9.9617,0.50388,3.5014,0.003985,0.06636,0.072492,0.15592,"Normal"
10.017,6.9342,0.60291,3.9962,0.0022481,0.046187,0.063192,0.16837,"Normal"
14.938,8.135,0.64672,3.8919,0.0021354,0.039122,0.080282,0.1586,"Normal"
13.073,8.3557,0.65408,4.1062,0.0015281,0.041083,0.085321,0.18667,"Normal"
11.525,8.5973,0.61552,3.7534,0.0023557,0.050892,0.063959,0.15872,"Normal"
13.044,6.9789,0.62818,3.7992,0.0027326,0.039615,0.077456,0.16519,"Normal"
12.02,9.0777,0.61826,4.1114,0.0017665,0.019006,0.066768,0.18001,"Normal"
10.63,7.0974,0.63891,3.9714,0.0036417,0.050939,0.053162,0.15624,"Normal"
11.879,10.16,0.6315,4.1307,0.0023622,0.045004,0.055564,0.17598,"Normal"
10.672,7.8972,0.58789,3.9794,0.0020383,0.029839,0.066515,0.17706,"Normal"
11.44,9.9905,0.66891,3.9598,0.0035925,0.034738,0.072122,0.16609,"Normal"
12.867,8.3914,0.65348,3.8867,0.0025518,0.045692,0.090088,0.16526,"Normal"
12.375,8.4019,0.60854,3.8823,0.0024727,0.035148,0.060987,0.1659,"Normal"
10.871,6.8791,0.57654,3.6048,0.0029637,0.048491,0.070066,0.15464,"Normal"
11.533,9.0449,0.60465,4.3882,0.0028245,0.040854,0.071336,0.18724,"Normal"
9.1824,7.5704,0.60693,3.8295,0.0022204,0.043536,0.065672,0.15926,"Normal"
12.645,10.361,0.59119,4.0345,0.0031858,0.046555,0.078711,0.16465,"Normal"
12.09,8.8272,0.64024,3.8788,0.0023069,0.040632,0.057794,0.16851,"Normal"
11.456,9.6816,0.56785,3.8663,0.0025428,0.034162,0.064517,0.15788,"Normal"
14.849,8.2136,0.59604,3.9877,0.0028114,0.048881,0.073828,0.15947,"Normal"
10.903,9.5702,0.54725,4.2075,0.0038172,0.041469,0.061156,0.17271,"Normal"
14.172,8.9777,0.59419,3.9768,0.0037697,0.047601,0.075394,0.15841,"Normal"
